Date,Hour,Temperature,Load
1-Jan-06,1,60.52,
1-Jan-06,2,60.32,
1-Jan-06,3,60.16,
1-Jan-06,4,59.84,
1-Jan-06,5,59.88,
1-Jan-06,6,59.92,
1-Jan-06,7,59.88,
1-Jan-06,8,60.24,
1-Jan-06,9,62.12,
1-Jan-06,10,65,
1-Jan-06,11,68.8,
1-Jan-06,12,71.76,
1-Jan-06,13,73.76,
1-Jan-06,14,75.04,
1-Jan-06,15,75,
1-Jan-06,16,74.24,
1-Jan-06,17,72.84,
1-Jan-06,18,71.16,
1-Jan-06,19,69.8,
1-Jan-06,20,69.2,
1-Jan-06,21,68.4,
1-Jan-06,22,67.68,
1-Jan-06,23,67.6,
1-Jan-06,24,67.28,
2-Jan-06,1,67.16,
2-Jan-06,2,67.24,
2-Jan-06,3,67.04,
2-Jan-06,4,66.36,
2-Jan-06,5,66,
2-Jan-06,6,65.76,
2-Jan-06,7,66.2,
2-Jan-06,8,66.76,
2-Jan-06,9,68.64,
2-Jan-06,10,71.24,
2-Jan-06,11,74,
2-Jan-06,12,75.76,
2-Jan-06,13,76.8,
2-Jan-06,14,77.12,
2-Jan-06,15,77,
2-Jan-06,16,76.52,
2-Jan-06,17,75.36,
2-Jan-06,18,72.68,
2-Jan-06,19,71.6,
2-Jan-06,20,70.68,
2-Jan-06,21,70.16,
2-Jan-06,22,69.44,
2-Jan-06,23,69.4,
2-Jan-06,24,68.96,
3-Jan-06,1,68.8,
3-Jan-06,2,68.8,
3-Jan-06,3,68.36,
3-Jan-06,4,68.16,
3-Jan-06,5,67.56,
3-Jan-06,6,66.88,
3-Jan-06,7,66.24,
3-Jan-06,8,65.52,
3-Jan-06,9,67.08,
3-Jan-06,10,69,
3-Jan-06,11,71.24,
3-Jan-06,12,73.44,
3-Jan-06,13,74.96,
3-Jan-06,14,75.88,
3-Jan-06,15,75.4,
3-Jan-06,16,74.56,
3-Jan-06,17,71.96,
3-Jan-06,18,66.8,
3-Jan-06,19,62.92,
3-Jan-06,20,60.48,
3-Jan-06,21,58.6,
3-Jan-06,22,57.16,
3-Jan-06,23,56.28,
3-Jan-06,24,55.28,
4-Jan-06,1,52.68,
4-Jan-06,2,52.28,
4-Jan-06,3,51.36,
4-Jan-06,4,50.12,
4-Jan-06,5,49.2,
4-Jan-06,6,48.68,
4-Jan-06,7,47.72,
4-Jan-06,8,48.24,
4-Jan-06,9,53.6,
4-Jan-06,10,58.76,
4-Jan-06,11,63.72,
4-Jan-06,12,66.6,
4-Jan-06,13,68.48,
4-Jan-06,14,69.76,
4-Jan-06,15,70.32,
4-Jan-06,16,69.88,
4-Jan-06,17,68.16,
4-Jan-06,18,63.28,
4-Jan-06,19,59.36,
4-Jan-06,20,57.28,
4-Jan-06,21,55.56,
4-Jan-06,22,54.4,
4-Jan-06,23,53.28,
4-Jan-06,24,52.28,
5-Jan-06,1,51.4,
5-Jan-06,2,50.64,
5-Jan-06,3,50.16,
5-Jan-06,4,49.84,
5-Jan-06,5,49.76,
5-Jan-06,6,49.2,
5-Jan-06,7,48.76,
5-Jan-06,8,49.76,
5-Jan-06,9,54.28,
5-Jan-06,10,58.96,
5-Jan-06,11,64.48,
5-Jan-06,12,67.64,
5-Jan-06,13,69.64,
5-Jan-06,14,71.2,
5-Jan-06,15,71.52,
5-Jan-06,16,70.92,
5-Jan-06,17,69.16,
5-Jan-06,18,65.92,
5-Jan-06,19,64,
5-Jan-06,20,62.64,
5-Jan-06,21,61.88,
5-Jan-06,22,60.64,
5-Jan-06,23,59.84,
5-Jan-06,24,58.36,
6-Jan-06,1,56.2,
6-Jan-06,2,54.88,
6-Jan-06,3,52.96,
6-Jan-06,4,50.96,
6-Jan-06,5,49.08,
6-Jan-06,6,47.88,
6-Jan-06,7,46.96,
6-Jan-06,8,46.6,
6-Jan-06,9,48.76,
6-Jan-06,10,50.4,
6-Jan-06,11,52.76,
6-Jan-06,12,53.92,
6-Jan-06,13,55.08,
6-Jan-06,14,55.72,
6-Jan-06,15,55.64,
6-Jan-06,16,55,
6-Jan-06,17,53.4,
6-Jan-06,18,51.12,
6-Jan-06,19,49.32,
6-Jan-06,20,48.28,
6-Jan-06,21,46.56,
6-Jan-06,22,45.36,
6-Jan-06,23,44.56,
6-Jan-06,24,43.96,
7-Jan-06,1,41.4,
7-Jan-06,2,40,
7-Jan-06,3,38.92,
7-Jan-06,4,38.24,
7-Jan-06,5,37.24,
7-Jan-06,6,36.64,
7-Jan-06,7,35.88,
7-Jan-06,8,36.56,
7-Jan-06,9,39.8,
7-Jan-06,10,42.36,
7-Jan-06,11,46,
7-Jan-06,12,48.4,
7-Jan-06,13,51.08,
7-Jan-06,14,53.04,
7-Jan-06,15,53.8,
7-Jan-06,16,54.24,
7-Jan-06,17,53.04,
7-Jan-06,18,49.2,
7-Jan-06,19,45.12,
7-Jan-06,20,42.48,
7-Jan-06,21,41.48,
7-Jan-06,22,40.4,
7-Jan-06,23,39.76,
7-Jan-06,24,38.88,
8-Jan-06,1,37.56,
8-Jan-06,2,36.64,
8-Jan-06,3,35.44,
8-Jan-06,4,35.64,
8-Jan-06,5,35.44,
8-Jan-06,6,35.4,
8-Jan-06,7,34.36,
8-Jan-06,8,35.32,
8-Jan-06,9,43.28,
8-Jan-06,10,51.04,
8-Jan-06,11,57.28,
8-Jan-06,12,60.64,
8-Jan-06,13,62.84,
8-Jan-06,14,64.08,
8-Jan-06,15,64.52,
8-Jan-06,16,64.48,
8-Jan-06,17,63,
8-Jan-06,18,58.76,
8-Jan-06,19,54.44,
8-Jan-06,20,52.12,
8-Jan-06,21,50.68,
8-Jan-06,22,49.08,
8-Jan-06,23,48.16,
8-Jan-06,24,47.6,
9-Jan-06,1,46.56,
9-Jan-06,2,45.8,
