Date,Hour,Temperature,Load
1-Jan-02,1,54.86,1031754.25
1-Jan-02,2,54.23,996580
1-Jan-02,3,53.72,968291
1-Jan-02,4,53.38,963509.75
1-Jan-02,5,52.91,983291.25
1-Jan-02,6,52.51,1029652.5
1-Jan-02,7,51.8,1100430
1-Jan-02,8,52.08,1192213.75
1-Jan-02,9,55.28,1282886.75
1-Jan-02,10,59.47,1307903
1-Jan-02,11,64.05,1288101.5
1-Jan-02,12,66.52,1247768
1-Jan-02,13,67.6,1194618.25
1-Jan-02,14,68.31,1143796.75
1-Jan-02,15,68.96,1100476.25
1-Jan-02,16,68.41,1080362.75
1-Jan-02,17,66.87,1093315
1-Jan-02,18,63.42,1174325.75
1-Jan-02,19,60.72,1318018.5
1-Jan-02,20,59.14,1306252.75
1-Jan-02,21,57.94,1256043.5
1-Jan-02,22,56.66,1178515
1-Jan-02,23,55.91,1079274.5
1-Jan-02,24,55.54,970351.75
2-Jan-02,1,54.81,890515.25
2-Jan-02,2,53.99,852335.75
2-Jan-02,3,53.68,844554.25
2-Jan-02,4,53.33,859230
2-Jan-02,5,52.96,898667
2-Jan-02,6,52.93,991918
2-Jan-02,7,52.88,1122389
2-Jan-02,8,53.54,1219839.75
2-Jan-02,9,57.55,1265843.75
2-Jan-02,10,61.55,1258509
2-Jan-02,11,65.57,1222971.75
2-Jan-02,12,67.6,1192474
2-Jan-02,13,68.24,1176270.5
2-Jan-02,14,68.82,1158209
2-Jan-02,15,68.74,1135905
2-Jan-02,16,68.16,1122072
2-Jan-02,17,66.89,1143433.25
2-Jan-02,18,64.02,1243170.25
2-Jan-02,19,61.74,1392458.25
2-Jan-02,20,60.18,1375209
2-Jan-02,21,59.18,1312892
2-Jan-02,22,57.97,1227934.75
2-Jan-02,23,57.58,1122124.5
2-Jan-02,24,56.94,1002235.75
3-Jan-02,1,56.14,911841.25
3-Jan-02,2,55.53,871980.25
3-Jan-02,3,55.1,863956.75
3-Jan-02,4,54.29,878448.5
3-Jan-02,5,53.73,923832.5
3-Jan-02,6,52.96,1034323
3-Jan-02,7,52.28,1196834.75
3-Jan-02,8,51.94,1304090.25
3-Jan-02,9,54.36,1351698.5
3-Jan-02,10,57.28,1364201.5
3-Jan-02,11,60.35,1353362.25
3-Jan-02,12,61.91,1332287.25
3-Jan-02,13,62.73,1313061.75
3-Jan-02,14,63.5,1297673.5
3-Jan-02,15,63.35,1286536.5
3-Jan-02,16,62.92,1292554
3-Jan-02,17,61.22,1344271.75
3-Jan-02,18,58.33,1463966.75
3-Jan-02,19,55.95,1647998
3-Jan-02,20,54.29,1658414.5
3-Jan-02,21,53.3,1631786
3-Jan-02,22,52.29,1560633.75
3-Jan-02,23,51.43,1463917.75
3-Jan-02,24,50.67,1360346.75
4-Jan-02,1,48.86,1286239.5
4-Jan-02,2,48.25,1263079
4-Jan-02,3,47.42,1268362.25
4-Jan-02,4,46.58,1299674
4-Jan-02,5,46.04,1360531
4-Jan-02,6,45.51,1470641.5
4-Jan-02,7,44.72,1613852.25
4-Jan-02,8,45.01,1720505.25
4-Jan-02,9,48.91,1745365
4-Jan-02,10,53.05,1699947.5
4-Jan-02,11,57.23,1594367
4-Jan-02,12,60.04,1480794.75
4-Jan-02,13,61.97,1385751.25
4-Jan-02,14,63.59,1308640.25
4-Jan-02,15,64.31,1250108
4-Jan-02,16,64.01,1228488.5
4-Jan-02,17,62.74,1264968.75
4-Jan-02,18,58.95,1405519.75
4-Jan-02,19,55.24,1634335
4-Jan-02,20,53.23,1683957
4-Jan-02,21,52.06,1679131.5
4-Jan-02,22,50.33,1640493.5
4-Jan-02,23,49.53,1567410.25
4-Jan-02,24,49.33,1471519.75
5-Jan-02,1,48.38,1405833.5
5-Jan-02,2,47.75,1391486.75
5-Jan-02,3,47.11,1402519
5-Jan-02,4,46.69,1430467.5
5-Jan-02,5,46.37,1482763.75
5-Jan-02,6,45.9,1585067
5-Jan-02,7,45.55,1720228
5-Jan-02,8,46.27,1802925.5
5-Jan-02,9,51.46,1799145.75
5-Jan-02,10,57.3,1706123.75
5-Jan-02,11,62.58,1534863.5
5-Jan-02,12,65.42,1389528.5
5-Jan-02,13,67.1,1292111.5
5-Jan-02,14,68.48,1223866
5-Jan-02,15,69.01,1177094.25
5-Jan-02,16,68.86,1156171.25
5-Jan-02,17,67.55,1178352
5-Jan-02,18,63.28,1281947.5
5-Jan-02,19,59.82,1467947.25
5-Jan-02,20,58.09,1488228.75
5-Jan-02,21,56.74,1453292.75
5-Jan-02,22,55.5,1380910.5
5-Jan-02,23,55.31,1266206.5
5-Jan-02,24,54.89,1145203.5
6-Jan-02,1,54.24,1054996
6-Jan-02,2,54.35,1019500.25
6-Jan-02,3,54.34,1009906.25
6-Jan-02,4,54.47,1015201.75
6-Jan-02,5,54.78,1046666.25
6-Jan-02,6,54.54,1151947
6-Jan-02,7,54.4,1321087.75
6-Jan-02,8,54.85,1370188.5
6-Jan-02,9,57.99,1348562.75
6-Jan-02,10,60.94,1280945.25
6-Jan-02,11,64.4,1205896.75
6-Jan-02,12,66.24,1148461.25
6-Jan-02,13,67.25,1113823.25
6-Jan-02,14,67.86,1083243.25
6-Jan-02,15,68.04,1065507
6-Jan-02,16,67.32,1072189.5
6-Jan-02,17,65.55,1124025.75
6-Jan-02,18,63,1252268.75
6-Jan-02,19,60.01,1443981
6-Jan-02,20,58.44,1467978.25
6-Jan-02,21,57.14,1434807.5
6-Jan-02,22,55.86,1357517.5
6-Jan-02,23,54.61,1246348.75
6-Jan-02,24,53.58,1132809
7-Jan-02,1,52.32,1065514.75
7-Jan-02,2,51.26,1060203.25
7-Jan-02,3,50.13,1085216.5
7-Jan-02,4,49.09,1130449.5
7-Jan-02,5,47.92,1220080.75
7-Jan-02,6,46.8,1419487.5
7-Jan-02,7,45.94,1711136.75
7-Jan-02,8,45.91,1809713.5
7-Jan-02,9,48.27,1743393.75
7-Jan-02,10,51.23,1629075.25
7-Jan-02,11,54.49,1523252.75
7-Jan-02,12,56.8,1434532.25
7-Jan-02,13,58.65,1356960.25
7-Jan-02,14,59.66,1284812
7-Jan-02,15,60.31,1241201.5
7-Jan-02,16,60,1244853
7-Jan-02,17,58.74,1319000.5
7-Jan-02,18,55.46,1522487.5
7-Jan-02,19,52.03,1791750.5
7-Jan-02,20,49.88,1860778.5
7-Jan-02,21,48.46,1866901.25
7-Jan-02,22,47.23,1819608
7-Jan-02,23,46.46,1718385.75
7-Jan-02,24,46.21,1609385.75
8-Jan-02,1,44.68,1554485.75
8-Jan-02,2,44.18,1559787.75
8-Jan-02,3,43.59,1592430.75
8-Jan-02,4,43.11,1643726
8-Jan-02,5,42.63,1726254
8-Jan-02,6,42.29,1887269.75
8-Jan-02,7,41.84,2084884
8-Jan-02,8,42.72,2103411.75
8-Jan-02,9,47.47,2019400
8-Jan-02,10,52.18,1826751
8-Jan-02,11,56.8,1622696.25
8-Jan-02,12,59.77,1465567.5
8-Jan-02,13,61.92,1350620
8-Jan-02,14,63.51,1262849.75
8-Jan-02,15,64.08,1207598.5
8-Jan-02,16,63.97,1200592.75
8-Jan-02,17,62.59,1258309.5
8-Jan-02,18,59.12,1415085.25
8-Jan-02,19,55.39,1651025.5
8-Jan-02,20,53.49,1701141.25
8-Jan-02,21,51.99,1697006.5
8-Jan-02,22,50.89,1638323.5
8-Jan-02,23,49.88,1529395.75
8-Jan-02,24,49.45,1413444.5
9-Jan-02,1,49.23,1346570
9-Jan-02,2,48.46,1331280
9-Jan-02,3,47.86,1342418.5
9-Jan-02,4,47.27,1374452
9-Jan-02,5,46.73,1434670.5
9-Jan-02,6,46.64,1576665.75
9-Jan-02,7,46.1,1749858.25
9-Jan-02,8,46.83,1793022.75
9-Jan-02,9,51.64,1705940.75
9-Jan-02,10,57.07,1571802
9-Jan-02,11,62.13,1398956
9-Jan-02,12,64.9,1271915
9-Jan-02,13,66.83,1195509.5
9-Jan-02,14,67.99,1140481.5
9-Jan-02,15,68.38,1105109
9-Jan-02,16,67.96,1107580
9-Jan-02,17,66.48,1151891.75
9-Jan-02,18,63.12,1267408.25
9-Jan-02,19,60.05,1445908.25
9-Jan-02,20,58.18,1464683.75
9-Jan-02,21,57.23,1431594.5
9-Jan-02,22,55.81,1358336.25
9-Jan-02,23,54.87,1249097.25
9-Jan-02,24,54.31,1130603.75
10-Jan-02,1,53.24,1053326.75
10-Jan-02,2,52.4,1033979
10-Jan-02,3,51.71,1041544.25
10-Jan-02,4,51.27,1069464.25
10-Jan-02,5,50.76,1124274.75
10-Jan-02,6,50.59,1263271.25
10-Jan-02,7,50.12,1478993.5
10-Jan-02,8,50.47,1558821
10-Jan-02,9,54.07,1518482.25
10-Jan-02,10,57.66,1437326.25
10-Jan-02,11,61.55,1365922.75
10-Jan-02,12,63.48,1308759.5
10-Jan-02,13,64.76,1273872
10-Jan-02,14,65.51,1243578.75
10-Jan-02,15,65.87,1229963.25
10-Jan-02,16,65.42,1241856
10-Jan-02,17,64.31,1286505.5
10-Jan-02,18,61.13,1383331
10-Jan-02,19,57.72,1543876.5
10-Jan-02,20,55.8,1553296.25
10-Jan-02,21,54.2,1514632.75
10-Jan-02,22,52.9,1452914.5
10-Jan-02,23,52.05,1366278
10-Jan-02,24,51.35,1268704.75
11-Jan-02,1,49.69,1202727.25
11-Jan-02,2,49.11,1194178.75
11-Jan-02,3,48.43,1213988.5
11-Jan-02,4,47.75,1252390.5
11-Jan-02,5,47.12,1317830.25
11-Jan-02,6,46.81,1451999
11-Jan-02,7,46.06,1655295.75
11-Jan-02,8,46.21,1763603.25
11-Jan-02,9,50.53,1762864.25
11-Jan-02,10,55.17,1652583.75
11-Jan-02,11,59.31,1494375.25
11-Jan-02,12,62.25,1344633.5
11-Jan-02,13,64.11,1241147.75
11-Jan-02,14,65.48,1164823.75
11-Jan-02,15,65.99,1111483.5
11-Jan-02,16,65.65,1092641.25
11-Jan-02,17,64.27,1131726.25
11-Jan-02,18,60.7,1248198
11-Jan-02,19,57.17,1454076.25
11-Jan-02,20,55.33,1493747.25
11-Jan-02,21,53.81,1487589.75
11-Jan-02,22,52.66,1439631.25
11-Jan-02,23,51.67,1350083
11-Jan-02,24,51.27,1253398.5
12-Jan-02,1,49.93,1191452.5
12-Jan-02,2,49.17,1180835
12-Jan-02,3,48.71,1192501.25
12-Jan-02,4,48.41,1220986.25
12-Jan-02,5,48.22,1273812
12-Jan-02,6,47.96,1394655.25
12-Jan-02,7,47.6,1579333.75
12-Jan-02,8,47.9,1656082
12-Jan-02,9,51.82,1678392.75
12-Jan-02,10,56.39,1576890
12-Jan-02,11,60.75,1442963
12-Jan-02,12,63.68,1332788
12-Jan-02,13,65.54,1254924.5
12-Jan-02,14,66.72,1197543.25
12-Jan-02,15,66.86,1162656.25
12-Jan-02,16,66.23,1161455.25
12-Jan-02,17,64.53,1211980.25
12-Jan-02,18,61.79,1317380.75
12-Jan-02,19,58.62,1495839.25
12-Jan-02,20,56.9,1517624.25
12-Jan-02,21,55.94,1485496.5
12-Jan-02,22,55.13,1413832.5
12-Jan-02,23,54.56,1296576.5
12-Jan-02,24,54.08,1174785.75
13-Jan-02,1,53.28,1094572.75
13-Jan-02,2,52.63,1074532.75
13-Jan-02,3,51.93,1085300.75
13-Jan-02,4,51.06,1119439.5
13-Jan-02,5,50.36,1186890.75
13-Jan-02,6,49.85,1339840.25
13-Jan-02,7,49.44,1572393
13-Jan-02,8,49.9,1665458.5
13-Jan-02,9,52.91,1634564.75
13-Jan-02,10,56.3,1529891.5
13-Jan-02,11,59.98,1412779.75
13-Jan-02,12,62.62,1317245.25
13-Jan-02,13,64.34,1250347.75
13-Jan-02,14,65.47,1198249.25
13-Jan-02,15,65.89,1157583.5
13-Jan-02,16,65.74,1159366.25
13-Jan-02,17,64.55,1214776.75
13-Jan-02,18,61.75,1351406
13-Jan-02,19,58.72,1552122.25
13-Jan-02,20,57.35,1588231
13-Jan-02,21,55.99,1557144.5
13-Jan-02,22,54.84,1479774.25
13-Jan-02,23,54.25,1354363.75
13-Jan-02,24,53.53,1226663
14-Jan-02,1,52.35,1154265.5
14-Jan-02,2,52,1136931
14-Jan-02,3,51.63,1144742.5
14-Jan-02,4,51.39,1171357.5
14-Jan-02,5,51.08,1232568.5
14-Jan-02,6,50.65,1394258
14-Jan-02,7,50.07,1636661.75
14-Jan-02,8,50.01,1690034.5
14-Jan-02,9,52.37,1608683
14-Jan-02,10,54.99,1498368
14-Jan-02,11,57.88,1381746.75
14-Jan-02,12,60.03,1278295
14-Jan-02,13,61.25,1198394.5
14-Jan-02,14,62.21,1135745.5
14-Jan-02,15,62.68,1093319
14-Jan-02,16,62.76,1086463.25
14-Jan-02,17,61.91,1135662.25
14-Jan-02,18,59.58,1272585.25
14-Jan-02,19,56.59,1471747.5
14-Jan-02,20,55.18,1508755.5
14-Jan-02,21,54.48,1491294.25
14-Jan-02,22,53.66,1429407.75
14-Jan-02,23,53.03,1325177.5
14-Jan-02,24,52.46,1209928.75
15-Jan-02,1,51.71,1137965.25
15-Jan-02,2,51.57,1119161.75
15-Jan-02,3,51.19,1124471
15-Jan-02,4,50.94,1149394
15-Jan-02,5,50.77,1205457.5
15-Jan-02,6,50.5,1349150.5
15-Jan-02,7,50.07,1566703.75
15-Jan-02,8,50.38,1640030.25
15-Jan-02,9,52.82,1576284.75
15-Jan-02,10,55.09,1464239.5
15-Jan-02,11,58.12,1351155.25
15-Jan-02,12,60.15,1249955.25
15-Jan-02,13,61.84,1168706.5
15-Jan-02,14,63.13,1109248.25
15-Jan-02,15,63.6,1071097.75
15-Jan-02,16,63.47,1073893.75
15-Jan-02,17,62.23,1128578.75
15-Jan-02,18,59.06,1265304
15-Jan-02,19,55.3,1480825
15-Jan-02,20,53.2,1536952
15-Jan-02,21,51.82,1546342.25
15-Jan-02,22,50.34,1506051.25
15-Jan-02,23,49.5,1420118.75
15-Jan-02,24,48.72,1321028
16-Jan-02,1,47.21,1262550
16-Jan-02,2,46.24,1265345.5
16-Jan-02,3,45.54,1300334.5
16-Jan-02,4,44.77,1353764.25
16-Jan-02,5,44.1,1444601.25
16-Jan-02,6,43.37,1632677.75
16-Jan-02,7,42.65,1897514.5
16-Jan-02,8,42.75,2000516.5
16-Jan-02,9,47.29,1923242.25
16-Jan-02,10,51.75,1726085.75
16-Jan-02,11,56.54,1523338.5
16-Jan-02,12,59.99,1349934.25
16-Jan-02,13,62.46,1212935
16-Jan-02,14,64.03,1112709.25
16-Jan-02,15,64.84,1049253.5
16-Jan-02,16,64.76,1033157.25
16-Jan-02,17,63.58,1072605
16-Jan-02,18,59.81,1196063.25
16-Jan-02,19,55.41,1423062.75
16-Jan-02,20,53.07,1489686.75
16-Jan-02,21,52.08,1500639.25
16-Jan-02,22,51.14,1476195.75
16-Jan-02,23,50.55,1400229
16-Jan-02,24,50.11,1300422
17-Jan-02,1,49.05,1234978.25
17-Jan-02,2,48.5,1225328.25
17-Jan-02,3,48.02,1241076.75
17-Jan-02,4,47.65,1271954.75
17-Jan-02,5,46.88,1334059
17-Jan-02,6,46.43,1480797.75
17-Jan-02,7,45.77,1698062.5
17-Jan-02,8,45.9,1813757.75
17-Jan-02,9,48.57,1806590.75
17-Jan-02,10,51.86,1726381
17-Jan-02,11,55.33,1605992.25
17-Jan-02,12,57.65,1469837.5
17-Jan-02,13,59.28,1356943.75
17-Jan-02,14,60.51,1255583.5
17-Jan-02,15,61.57,1189866.25
17-Jan-02,16,61.45,1178008.75
17-Jan-02,17,60.44,1233047.75
17-Jan-02,18,57.22,1393064.5
17-Jan-02,19,53.91,1638183
17-Jan-02,20,51.9,1712189.75
17-Jan-02,21,50.59,1718366.5
17-Jan-02,22,49.58,1683232
17-Jan-02,23,49.18,1603857.25
17-Jan-02,24,48.53,1513209.25
18-Jan-02,1,47.39,1453843.75
18-Jan-02,2,46.9,1452337.75
18-Jan-02,3,46.34,1470587.75
18-Jan-02,4,46.15,1501594
18-Jan-02,5,45.75,1561414.25
18-Jan-02,6,45.24,1689774.25
18-Jan-02,7,44.67,1859744.5
18-Jan-02,8,44.68,1935833
