Date,Day of week,Month,Hour,Temperature,Aniket_Thopte
1-Jan-06,1,1,1,60.52,788625.8318
1-Jan-06,1,1,2,60.32,743275.7318
1-Jan-06,1,1,3,60.16,702337.8484
1-Jan-06,1,1,4,59.84,678601.619
1-Jan-06,1,1,5,59.88,685297.6251
1-Jan-06,1,1,6,59.92,781135.6357
1-Jan-06,1,1,7,59.88,927208.5053
1-Jan-06,1,1,8,60.24,1037159.671
1-Jan-06,1,1,9,62.12,1105901.123
1-Jan-06,1,1,10,65,1140322.429
1-Jan-06,1,1,11,68.8,1132169.358
1-Jan-06,1,1,12,71.76,1114869.787
1-Jan-06,1,1,13,73.76,1116146.878
1-Jan-06,1,1,14,75.04,1115773.918
1-Jan-06,1,1,15,75,1102600.652
1-Jan-06,1,1,16,74.24,1110345.981
1-Jan-06,1,1,17,72.84,1148492.436
1-Jan-06,1,1,18,71.16,1215054.488
1-Jan-06,1,1,19,69.8,1288343.946
1-Jan-06,1,1,20,69.2,1336784.584
1-Jan-06,1,1,21,68.4,1320728.577
1-Jan-06,1,1,22,67.68,1200768.368
1-Jan-06,1,1,23,67.6,1044985.255
1-Jan-06,1,1,24,67.28,887038.9015
2-Jan-06,2,1,1,67.16,762581.7256
2-Jan-06,2,1,2,67.24,718770.6453
2-Jan-06,2,1,3,67.04,676262.2323
2-Jan-06,2,1,4,66.36,639987.4099
2-Jan-06,2,1,5,66,641512.3993
2-Jan-06,2,1,6,65.76,732119.0333
2-Jan-06,2,1,7,66.2,837850.0341
2-Jan-06,2,1,8,66.76,920468.2292
2-Jan-06,2,1,9,68.64,996590.4553
2-Jan-06,2,1,10,71.24,1067146.888
2-Jan-06,2,1,11,74,1124310.691
2-Jan-06,2,1,12,75.76,1179016.61
2-Jan-06,2,1,13,76.8,1195091.199
2-Jan-06,2,1,14,77.12,1183451.74
2-Jan-06,2,1,15,77,1173019.986
2-Jan-06,2,1,16,76.52,1186435.283
2-Jan-06,2,1,17,75.36,1218707.937
2-Jan-06,2,1,18,72.68,1242102.067
2-Jan-06,2,1,19,71.6,1317391.232
2-Jan-06,2,1,20,70.68,1363847.252
2-Jan-06,2,1,21,70.16,1360151.411
2-Jan-06,2,1,22,69.44,1256084.13
2-Jan-06,2,1,23,69.4,1094184.469
2-Jan-06,2,1,24,68.96,928221.3122
3-Jan-06,3,1,1,68.8,776479.0096
3-Jan-06,3,1,2,68.8,732124.6593
3-Jan-06,3,1,3,68.36,685531.6987
3-Jan-06,3,1,4,68.16,647658.1583
3-Jan-06,3,1,5,67.56,644272.7427
3-Jan-06,3,1,6,66.88,730211.3446
3-Jan-06,3,1,7,66.24,836676.9515
3-Jan-06,3,1,8,65.52,935690.3132
3-Jan-06,3,1,9,67.08,1013941.886
3-Jan-06,3,1,10,69,1082894.663
3-Jan-06,3,1,11,71.24,1115381.354
3-Jan-06,3,1,12,73.44,1129535.323
3-Jan-06,3,1,13,74.96,1133269.375
3-Jan-06,3,1,14,75.88,1133919.784
3-Jan-06,3,1,15,75.4,1110594.546
3-Jan-06,3,1,16,74.56,1115671.077
3-Jan-06,3,1,17,71.96,1125928.49
3-Jan-06,3,1,18,66.8,1180100.554
3-Jan-06,3,1,19,62.92,1280213.628
3-Jan-06,3,1,20,60.48,1332343.352
3-Jan-06,3,1,21,58.6,1290087.608
3-Jan-06,3,1,22,57.16,1220284.892
3-Jan-06,3,1,23,56.28,1113789.841
3-Jan-06,3,1,24,55.28,981946.2891
4-Jan-06,4,1,1,52.68,978756.4198
4-Jan-06,4,1,2,52.28,958747.0892
4-Jan-06,4,1,3,51.36,973329.2675
4-Jan-06,4,1,4,50.12,1024652.123
4-Jan-06,4,1,5,49.2,1096738.275
4-Jan-06,4,1,6,48.68,1218193.115
4-Jan-06,4,1,7,47.72,1453097.337
4-Jan-06,4,1,8,48.24,1587937.619
4-Jan-06,4,1,9,53.6,1421966.889
4-Jan-06,4,1,10,58.76,1305245.962
4-Jan-06,4,1,11,63.72,1225176.583
4-Jan-06,4,1,12,66.6,1167525.428
4-Jan-06,4,1,13,68.48,1089575.998
4-Jan-06,4,1,14,69.76,1033660.978
4-Jan-06,4,1,15,70.32,1012800.395
4-Jan-06,4,1,16,69.88,1033157.819
4-Jan-06,4,1,17,68.16,1091368.352
4-Jan-06,4,1,18,63.28,1206969.521
4-Jan-06,4,1,19,59.36,1329946.753
4-Jan-06,4,1,20,57.28,1385944.724
4-Jan-06,4,1,21,55.56,1355156.933
4-Jan-06,4,1,22,54.4,1299558.41
4-Jan-06,4,1,23,53.28,1210421.596
4-Jan-06,4,1,24,52.28,1091051.117
5-Jan-06,5,1,1,51.4,1031477.045
5-Jan-06,5,1,2,50.64,1029405.616
5-Jan-06,5,1,3,50.16,1032586.166
5-Jan-06,5,1,4,49.84,1048103.663
5-Jan-06,5,1,5,49.76,1081257.862
5-Jan-06,5,1,6,49.2,1205131.958
5-Jan-06,5,1,7,48.76,1411696.843
5-Jan-06,5,1,8,49.76,1517653.841
