Date,Day of week,Month,Hour,Temperature,Load,,,
1/1/2002,1,1,1,43.72,1384494,,,
1/1/2002,1,1,2,42.72,1392822,,,
1/1/2002,1,1,3,41.84,1407887,,,
1/1/2002,1,1,4,41.04,1438658,,,
1/1/2002,1,1,5,40.56,1484046,,,
1/1/2002,1,1,6,39.56,1559169,,,
1/1/2002,1,1,7,38.68,1665253,,,
1/1/2002,1,1,8,38.88,1797826,,,
1/1/2002,1,1,9,42.16,1871982,,,
1/1/2002,1,1,10,46.56,1808095,,,
1/1/2002,1,1,11,51.48,1664677,,,`
1/1/2002,1,1,12,55.12,1496108,,,
1/1/2002,1,1,13,55.72,1336017,,,
1/1/2002,1,1,14,57.16,1205316,,,
1/1/2002,1,1,15,59.68,1119717,,,
1/1/2002,1,1,16,59.44,1089214,,,
1/1/2002,1,1,17,58.24,1134721,,,
1/1/2002,1,1,18,54.96,1272858,,,
1/1/2002,1,1,19,53.24,1439264,,,
1/1/2002,1,1,20,52.48,1451540,,,
1/1/2002,1,1,21,51.84,1421758,,,
1/1/2002,1,1,22,50.96,1353192,,,
1/1/2002,1,1,23,50.92,1243541,,,
1/1/2002,1,1,24,50.2,1131533,,,
1/2/2002,2,1,1,49.36,1059968,,,
1/2/2002,2,1,2,48.72,1037745,,,
1/2/2002,2,1,3,48.68,1040224,,,
1/2/2002,2,1,4,49.16,1061350,,,
1/2/2002,2,1,5,48.68,1111704,,,
1/2/2002,2,1,6,49.4,1228713,,,
1/2/2002,2,1,7,49.96,1372016,,,
1/2/2002,2,1,8,51,1437581,,,
1/2/2002,2,1,9,52.92,1453318,,,
1/2/2002,2,1,10,54.48,1464511,,,
1/2/2002,2,1,11,56.16,1461564,,,
1/2/2002,2,1,12,56.72,1446414,,,
1/2/2002,2,1,13,56,1430400,,,
1/2/2002,2,1,14,55.84,1400935,,,
1/2/2002,2,1,15,55.68,1348645,,,
1/2/2002,2,1,16,55.28,1306100,,,
1/2/2002,2,1,17,54.8,1334734,,,
1/2/2002,2,1,18,53.72,1480547,,,
1/2/2002,2,1,19,52.24,1627644,,,
1/2/2002,2,1,20,51,1618167,,,
1/2/2002,2,1,21,49.84,1574430,,,
1/2/2002,2,1,22,48.4,1509438,,,
1/2/2002,2,1,23,47.72,1418878,,,
1/2/2002,2,1,24,47.36,1314143,,,
1/3/2002,3,1,1,46.72,1243783,,,
1/3/2002,3,1,2,45.88,1232629,,,
1/3/2002,3,1,3,45.12,1253069,,,
1/3/2002,3,1,4,44.48,1291699,,,
1/3/2002,3,1,5,43.92,1361961,,,
1/3/2002,3,1,6,43.28,1509614,,,
1/3/2002,3,1,7,43.28,1699977,,,
1/3/2002,3,1,8,43.04,1808900,,,
1/3/2002,3,1,9,43.08,1836818,,,
1/3/2002,3,1,10,43.68,1860145,,,
1/3/2002,3,1,11,45,1854124,,,
1/3/2002,3,1,12,46.24,1811057,,,
1/3/2002,3,1,13,46.24,1777247,,,
1/3/2002,3,1,14,47.08,1760297,,,
1/3/2002,3,1,15,46.96,1754701,,,
1/3/2002,3,1,16,47,1780181,,,
1/3/2002,3,1,17,46,1872009,,,
1/3/2002,3,1,18,44.6,2007456,,,
1/3/2002,3,1,19,43.32,2196752,,,
1/3/2002,3,1,20,42,2231312,,,
1/3/2002,3,1,21,41.08,2260145,,,
1/3/2002,3,1,22,40.12,2202390,,,
1/3/2002,3,1,23,38.92,2106229,,,
1/3/2002,3,1,24,38.36,2002308,,,
1/4/2002,4,1,1,35.24,1948510,,,
1/4/2002,4,1,2,34.44,1969377,,,
1/4/2002,4,1,3,33.12,2012981,,,
1/4/2002,4,1,4,32.08,2079779,,,
1/4/2002,4,1,5,31.08,2175967,,,
1/4/2002,4,1,6,30.64,2324188,,,
1/4/2002,4,1,7,29.8,2449261,,,
1/4/2002,4,1,8,29.4,2545548,,,
1/4/2002,4,1,9,32.44,2492598,,,
1/4/2002,4,1,10,35.84,2400051,,,
1/4/2002,4,1,11,39.8,2215034,,,
1/4/2002,4,1,12,42.88,1983061,,,
1/4/2002,4,1,13,45.52,1754304,,,
1/4/2002,4,1,14,48,1571357,,,
1/4/2002,4,1,15,48.96,1435767,,,
1/4/2002,4,1,16,49.52,1375275,,,
1/4/2002,4,1,17,48.88,1429165,,,
1/4/2002,4,1,18,44.8,1665978,,,
1/4/2002,4,1,19,40.32,1998735,,,
1/4/2002,4,1,20,37.48,2137847,,,
1/4/2002,4,1,21,36.28,2229186,,,
1/4/2002,4,1,22,34.28,2283298,,,
1/4/2002,4,1,23,33.92,2281377,,,
1/4/2002,4,1,24,34.16,2234492,,,
1/5/2002,5,1,1,33.4,2206609,,,
1/5/2002,5,1,2,33.08,2231348,,,
1/5/2002,5,1,3,32.48,2268887,,,
1/5/2002,5,1,4,32.52,2315902,,,
1/5/2002,5,1,5,32.36,2374934,,,
1/5/2002,5,1,6,32.2,2447119,,,
1/5/2002,5,1,7,32.4,2454500,,,
1/5/2002,5,1,8,33.52,2564974,,,
1/5/2002,5,1,9,38.4,2588347,,,
1/5/2002,5,1,10,44.32,2445946,,,
1/5/2002,5,1,11,50.52,2118183,,,
1/5/2002,5,1,12,54.16,1794081,,,
1/5/2002,5,1,13,56.36,1539011,,,
1/5/2002,5,1,14,58.48,1356704,,,
1/5/2002,5,1,15,59.52,1240281,,,
1/5/2002,5,1,16,59.88,1165297,,,
1/5/2002,5,1,17,59.08,1179711,,,
1/5/2002,5,1,18,54.96,1313806,,,
1/5/2002,5,1,19,52.16,1500588,,,
1/5/2002,5,1,20,50.88,1539604,,,
1/5/2002,5,1,21,49.88,1538265,,,
1/5/2002,5,1,22,49.32,1506227,,,
1/5/2002,5,1,23,51,1432499,,,
1/5/2002,5,1,24,51.6,1328303,,,
1/6/2002,6,1,1,51.64,1229762,,,
1/6/2002,6,1,2,54,1174651,,,
1/6/2002,6,1,3,55.52,1138770,,,
1/6/2002,6,1,4,56.64,1104162,,,
1/6/2002,6,1,5,58.56,1079453,,,
1/6/2002,6,1,6,59.32,1068708,,,
1/6/2002,6,1,7,59.8,1085171,,,
1/6/2002,6,1,8,59.8,1142253,,,
1/6/2002,6,1,9,60.28,1229494,,,
1/6/2002,6,1,10,60.36,1263747,,,
1/6/2002,6,1,11,62.4,1212010,,,
1/6/2002,6,1,12,63.64,1136064,,,
1/6/2002,6,1,13,64.52,1097296,,,
1/6/2002,6,1,14,64.84,1054309,,,
1/6/2002,6,1,15,64.92,1023492,,,
1/6/2002,6,1,16,64.16,1025361,,,
1/6/2002,6,1,17,62.4,1074447,,,
1/6/2002,6,1,18,60.36,1181899,,,
1/6/2002,6,1,19,58.16,1327549,,,
1/6/2002,6,1,20,56.8,1344816,,,
