DATE,Hour,Temperature,Aniket_Thopte
1-Jan-06,1,60.52,798298
1-Jan-06,2,60.32,748117
1-Jan-06,3,60.16,729263
1-Jan-06,4,59.84,718888
1-Jan-06,5,59.88,735563
1-Jan-06,6,59.92,823361
1-Jan-06,7,59.88,1016194
1-Jan-06,8,60.24,1060047
1-Jan-06,9,62.12,1098759
1-Jan-06,10,65,1122910
1-Jan-06,11,68.8,1122198
1-Jan-06,12,71.76,1104653
1-Jan-06,13,73.76,1114149
1-Jan-06,14,75.04,1133290
1-Jan-06,15,75,1138663
1-Jan-06,16,74.24,1151204
1-Jan-06,17,72.84,1160815
1-Jan-06,18,71.16,1250379
1-Jan-06,19,69.8,1346522
1-Jan-06,20,69.2,1352083
1-Jan-06,21,68.4,1322635
1-Jan-06,22,67.68,1221148
1-Jan-06,23,67.6,1078857
1-Jan-06,24,67.28,946819
2-Jan-06,1,67.16,812918
2-Jan-06,2,67.24,784404
2-Jan-06,3,67.04,727677
2-Jan-06,4,66.36,727449
2-Jan-06,5,66,725984
2-Jan-06,6,65.76,824116
2-Jan-06,7,66.2,957270
2-Jan-06,8,66.76,988667
2-Jan-06,9,68.64,1026785
2-Jan-06,10,71.24,1066064
2-Jan-06,11,74,1116626
2-Jan-06,12,75.76,1158358
2-Jan-06,13,76.8,1183954
2-Jan-06,14,77.12,1196255
2-Jan-06,15,77,1191296
2-Jan-06,16,76.52,1230482
2-Jan-06,17,75.36,1259255
2-Jan-06,18,72.68,1268781
2-Jan-06,19,71.6,1362383
2-Jan-06,20,70.68,1400118
2-Jan-06,21,70.16,1370775
2-Jan-06,22,69.44,1291254
2-Jan-06,23,69.4,1144896
2-Jan-06,24,68.96,977880
3-Jan-06,1,68.8,860406
3-Jan-06,2,68.8,806741
3-Jan-06,3,68.36,768583
3-Jan-06,4,68.16,772021
3-Jan-06,5,67.56,760338
3-Jan-06,6,66.88,819750
3-Jan-06,7,66.24,957381
3-Jan-06,8,65.52,988602
3-Jan-06,9,67.08,1039664
3-Jan-06,10,69,1072842
3-Jan-06,11,71.24,1099059
3-Jan-06,12,73.44,1092220
3-Jan-06,13,74.96,1108977
3-Jan-06,14,75.88,1151207
3-Jan-06,15,75.4,1147999
3-Jan-06,16,74.56,1150043
3-Jan-06,17,71.96,1139085
3-Jan-06,18,66.8,1169081
3-Jan-06,19,62.92,1288151
3-Jan-06,20,60.48,1330012
3-Jan-06,21,58.6,1290010
3-Jan-06,22,57.16,1219226
