Hour,Temperature,Load
01,43.72,1384494
02,42.72,1392822
03,41.84,1407887
04,41.04,1438658
05,40.56,1484046
06,39.56,1559169
07,38.68,1665253
08,38.88,1797826
09,42.16,1871982
10,46.56,1808095
11,51.48,1664677
12,55.12,1496108
13,55.72,1336017
14,57.16,1205316
15,59.68,1119717
16,59.44,1089214
17,58.24,1134721
18,54.96,1272858
19,53.24,1439264
20,52.48,1451540
21,51.84,1421758
22,50.96,1353192
23,50.92,1243541
24,50.2,1131533
01,49.36,1059968
02,48.72,1037745
03,48.68,1040224
04,49.16,1061350
05,48.68,1111704
06,49.4,1228713
07,49.96,1372016
08,51,1437581
09,52.92,1453318
10,54.48,1464511
11,56.16,1461564
12,56.72,1446414
13,56,1430400
14,55.84,1400935
15,55.68,1348645
16,55.28,1306100
17,54.8,1334734
18,53.72,1480547
19,52.24,1627644
20,51,1618167
21,49.84,1574430
22,48.4,1509438
23,47.72,1418878
24,47.36,1314143
01,46.72,1243783
02,45.88,1232629
03,45.12,1253069
04,44.48,1291699
05,43.92,1361961
06,43.28,1509614
07,43.28,1699977
08,43.04,1808900
09,43.08,1836818
10,43.68,1860145
11,45,1854124
12,46.24,1811057
13,46.24,1777247
14,47.08,1760297
15,46.96,1754701
16,47,1780181
17,46,1872009
18,44.6,2007456
19,43.32,2196752
20,42,2231312
21,41.08,2260145
22,40.12,2202390
23,38.92,2106229
24,38.36,2002308
01,35.24,1948510
02,34.44,1969377
03,33.12,2012981
04,32.08,2079779
05,31.08,2175967
06,30.64,2324188
07,29.8,2449261
08,29.4,2545548
09,32.44,2492598
10,35.84,2400051
11,39.8,2215034
12,42.88,1983061
13,45.52,1754304
14,48,1571357
15,48.96,1435767
16,49.52,1375275
17,48.88,1429165
18,44.8,1665978
19,40.32,1998735
20,37.48,2137847
21,36.28,2229186
22,34.28,2283298
23,33.92,2281377
24,34.16,2234492
01,33.4,2206609
02,33.08,2231348
03,32.48,2268887
04,32.52,2315902
05,32.36,2374934
06,32.2,2447119
07,32.4,2454500
08,33.52,2564974
09,38.4,2588347
10,44.32,2445946
11,50.52,2118183
12,54.16,1794081
13,56.36,1539011
14,58.48,1356704
15,59.52,1240281
16,59.88,1165297
17,59.08,1179711
18,54.96,1313806
19,52.16,1500588
20,50.88,1539604
21,49.88,1538265
22,49.32,1506227
23,51,1432499
24,51.6,1328303
01,51.64,1229762
02,54,1174651
03,55.52,1138770
04,56.64,1104162
05,58.56,1079453
06,59.32,1068708
07,59.8,1085171
08,59.8,1142253
09,60.28,1229494
10,60.36,1263747
11,62.4,1212010
12,63.64,1136064
13,64.52,1097296
14,64.84,1054309
15,64.92,1023492
16,64.16,1025361
17,62.4,1074447
18,60.36,1181899
19,58.16,1327549
20,56.8,1344816
21,55.24,1325391
22,53.96,1266657
23,52.56,1178158
24,51.48,1084087
01,51.12,1023048
02,50.04,1012136
03,49.32,1027816
04,48.36,1055278
05,46.88,1139646
06,45.72,1332646
07,45.24,1600928
08,44.8,1699503
09,47.32,1646057
10,49.68,1525405
11,52.12,1442199
12,53.4,1416043
13,54.36,1383722
14,54.28,1343702
15,54.08,1340583
16,53.68,1378452
17,52.24,1484364
18,50.08,1732290
19,47.4,2000201
20,45.84,2059685
21,44.24,2045227
22,42.56,1979832
23,40.88,1857638
24,40.44,1749156
01,37.92,1715610
02,37.28,1751294
03,36.48,1820746
04,35.48,1912470
05,34.12,2040578
06,33.24,2278927
07,32.2,2563113
08,32.56,2539939
09,37,2436897
10,40.92,2198213
11,44.72,1931112
12,46.96,1717011
13,49.08,1547420
14,51.2,1405947
15,52.36,1313752
16,52.52,1298829
17,51.28,1402963
18,47.32,1681690
19,42.56,2036990
20,40.32,2184852
21,38.88,2270117
22,37.04,2272113
23,35.6,2195409
24,35.8,2117630
01,35.52,2110566
02,33.52,2162937
03,33.08,2230965
04,32.04,2311682
05,31.64,2415660
06,31.48,2612251
07,30.8,2753814
08,31.52,2758670
09,38.12,2558234
10,45.32,2311710
11,51.44,1904962
12,54.84,1597640
13,57.48,1374737
14,59.24,1208446
15,60.6,1100855
16,60.96,1073283
17,60.12,1126684
18,55.8,1323257
19,51.76,1599114
20,49.6,1694863
21,48.6,1734967
22,45.88,1716726
23,44.2,1630621
24,43.72,1531129
01,43.48,1485007
02,41.44,1501558
03,40.16,1543441
04,40,1597884
05,39.16,1684665
06,39.04,1878816
07,38.48,2155825
08,39.32,2192188
09,47.72,1993821
10,55.44,1664232
11,61.84,1377462
12,65.16,1179776
13,67.44,1051288
14,68.88,970851
15,69.04,925444
16,68.76,921797
17,67.36,965703
18,61.92,1095213
19,57.24,1327251
20,54.8,1395224
21,52.76,1397333
22,50.76,1364713
23,49.48,1306195
24,47.84,1215066
01,47.28,1170991
02,47.08,1189108
03,46.12,1235406
04,45.68,1297160
05,45,1389561
06,45.68,1591082
07,45.36,1877420
08,46.28,1932953
09,53.6,1750834
10,60.4,1470029
11,65.84,1232189
12,69.28,1070872
13,70.64,984656
14,71.32,935249
15,70.72,902917
16,70.48,888105
17,68.68,924987
18,65.04,1022795
19,61.44,1176113
20,59.36,1181676
21,57.28,1155680
22,55.76,1124342
23,54.36,1074021
24,54,998715
01,53.2,933008
02,52.08,913734
03,51.52,917856
04,51.32,934473
05,51.12,971146
06,50.76,1041150
07,50.68,1153956
08,51,1289000
09,54.64,1371760
